C h i c a g o   C u b s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (22),EXEMPT,,OF,Gabriel Martinez,TOR,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SEA (24),EXEMPT,,OF,Austin Hendrick,CIN,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (22),Eligible,,OF,Luis Mieses,CHW,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,OF,Edison Charles,NYY,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2027,,OF,Max Clark,DET,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,OF,Cristian Perez,DET,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (24) Rd 4,2027,,OF,Nathan Archer,CHW,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SEA (25),2027,,OF,James Tibbs,SF,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SF (25),2026,,OF,Yasser Mercedes,MIN,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-DET (25),2026,,OF,Matthew Etzel,BAL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-NYM (25),2026,,OF,Simon Juan,NYM,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-MIA (25),2026,,OF,Elijah Green,WSH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SEA (25),2026,,OF,Jaison Chourio,CLE,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-DET (25),2025,,OF,Jud Fabian,BAL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2025,,OF,Yeison Morrobel,TEX,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-STL (25),2025,,OF,Fidel Montero,NYY,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-MIA (25),2025,,OF,Felix Tena,COL,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 4,Not in RR,,P,Talon Haley,LAA,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-TB (26),EXEMPT,,P,Ryan Fernandez,STL,,,,,,,,,,,,,,
,X,,,,,,25,,,,,,,,,Rule V-CLE (25),EXEMPT,,P,Owen White,TEX,,,,,,,,,,,,,,
,X,,,,,,25,,,,,,,,,Trade-ATH (25),EXEMPT,,P,Luke Little,CHC,,,,,,,,,,,,,,
,X,,,,,,22,23,,,,,,,,Trade-PHI (25),EXEMPT,,P,Ron Marinaccio,SD,,,,,,,,,,,,,,
