"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*02yoi*","Alex Jackson","MIN","C","1061","FA","29","","48","1.92","0","-","5%","0%"
"*051am*","Easton Lucas","TOR","SP","1065","FA","29","","47.5","2.07","0","-","6%","0%"
"*04pxb*","Shawn Dubin","(N/A)","RP","1068","FA","30","","47","1.42","0","-","6%","0%"
"*04eiw*","Eli Morgan","CHC","RP","1070","FA","29","","47","1.42","0","-","7%","0%"
"*04pw2*","Chase Shugart","PIT","RP","1071","FA","29","","47","1.47","0","-","4%","0%"
"*03deu*","Brock Stewart","LAD","RP","1072","FA","34","","47","1.31","2","464.3","7%","0%"
"*050ih*","Jhony Brito","SD","RP","1074","FA","27","","46.5","7.75","0","-","7%","0%"
"*05gsw*","Yerry De Los Santos","NYY","RP","1075","FA","28","@SF Wed 5:05PM","46.5","1.66","0","-","6%","0%"
"*04q01*","Justin Dean","SF","OF","1076","FA","29","NYY Wed 5:05PM","46.5","1.86","0","-","3%","0%"
"*031b4*","Tyler Wade","TEX","OF,UT","1079","FA","31","","46.5","1.6","0","-","4%","0%"
"*03nqg*","Kolby Allard","(N/A)","RP","1080","FA","28","","46","1.44","2","464.3","9%","0%"
"*03di1*","Matt Gage","SF","RP","1082","FA","32","NYY Wed 5:05PM","46","1.28","0","-","2%","0%"
"*061pi*","Yaramil Hiraldo","BAL","RP","1083","FA","29","","46","1.92","0","-","2%","0%"
"*0421l*","Sam Long","(N/A)","RP","1084","FA","30","","46","1.1","0","-","2%","0%"
"*02n1q*","Luke Maile","(N/A)","C","1085","FA","34","","46","1.84","0","-","1%","0%"
"*04eec*","Nate Pearson","HOU","RP","1086","FA","29","","46","1.44","8","477.9","13%","0%"
"*02oyz*","Michael Tonkin","(N/A)","RP","1089","FA","36","","46","1.48","0","-","5%","0%"
"*02ob9*","John Curtiss","(N/A)","RP","1091","FA","32","","45","1.32","0","-","3%","0%"
"*060hu*","Caleb Boushley","TB","RP","1094","FA","32","","44.5","1.59","0","-","3%","0%"
"*04pqb*","Mike Siani","LAD","OF","1101","FA","26","","44","1.76","0","-","8%","0%"
"*0617q*","Bryce Teodosio","LAA","OF","1102","FA","26","","44","1.38","0","-","5%","0%"
