ID,Player,Team,Position,RkOv,Status,Age,Opponent,FPts,FP/G,%D,ADP,Ros,+/-
*02h8d*,Steven Matz,TB,RP,724,FA,34,,100,1.92,31,486.6,26%,0%
*02n0v*,Hoby Milner,CHC,RP,732,FA,35,,98.5,1.41,0,-,11%,0%
*051dw*,Brandon Eisert,CHW,RP,734,FA,27,,98,1.46,0,-,5%,0%
*03qln*,Jimmy Herget,COL,RP,738,FA,32,,97,1.7,4,468.3,9%,0%
*03dqv*,Tanner Banks,PHI,RP,739,FA,34,,96.5,1.51,0,-,7%,0%
*02bqd*,Andrew Chafin,(N/A),RP,741,FA,35,,96,1.32,0,-,4%,0%
*02buh*,Scott Barlow,(N/A),RP,745,FA,33,,95.5,1.36,1,462.1,8%,0%
*03d6q*,Derek Hill,CHW,OF,746,FA,30,,95.5,1.91,0,-,6%,0%
*01sfi*,DJ LeMahieu,NYY,2B,748,FA,37,@SF Wed 5:05PM,95,2.02,0,-,4%,0%
*04ggi*,Andrew Kittredge,BAL,RP,756,FA,35,,94,1.47,36,454.5,36%,0%
*01sbv*,Shelby Miller,(N/A),RP,758,FA,35,,94,2,1,461.9,12%,-1%
